ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"95.182.121.73","elite","AS202984","RU","Chernyshov Aleksandr Aleksandrovich","59","Ildar Gilmutdinov PE","62134","socks5","73","1","2024-07-29T21:36:46.502Z","29","2191","7553"
"128.199.64.85","elite","AS14061","SG","DigitalOcean, LLC","195","DigitalOcean, LLC","80","socks4","2691","1","2024-07-29T21:36:46.400Z","94","798","848"
"209.126.104.38","elite","AS30083","US","GoDaddy.com, LLC","106","GoDaddy.com, LLC","43835","socks4","566","1","2024-07-29T21:36:46.589Z","99","895","902"
"5.135.137.13","elite","N/A","FR","OVH SAS","5","N/A","59124","socks4","1210","1","2024-07-29T21:36:46.599Z","100","804","804"
"81.12.104.38","elite","AS42337","IR","Respina Networks & Beyond PJSC","90","Respina Networks","3629","socks4","4811","1","2024-07-29T21:36:46.402Z","91","6878","7579"
"103.54.148.34","elite","AS134128","BD","Mega Speed","200","N/A","1080","socks4","460","2","2024-07-29T21:36:45.407Z","98","7459","7574"
"27.147.193.190","elite","AS23688","BD","Link3 Technologies Limited","195","Corporate Subscriber","1080","socks4","2696","1","2024-07-29T21:36:45.694Z","98","7438","7591"
"181.12.80.21","elite","AS7303","AR","Telecom Argentina S.A.","219","Telecom Personal Bs","12000","socks4","2293","1","2024-07-29T21:36:45.591Z","100","540","542"
"104.19.120.84","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks5","3796","1","2024-07-29T21:36:45.602Z","100","7606","7607"
"157.245.157.72","elite","AS14061","SG","DigitalOcean, LLC","189","DigitalOcean, LLC","60490","socks4","2014","1","2024-07-29T21:36:45.593Z","96","7280","7548"
"117.1.251.64","elite","AS7552","VN","Viettel Corporation","297","N/A","5301","socks4","1707","2","2024-07-29T21:36:45.706Z","47","130","276"
"132.232.61.124","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","191","Tencent Cloud Computing (Beijing) Co., Ltd","1080","socks4","993","2","2024-07-29T21:36:45.702Z","93","113","121"
"222.186.133.13","elite","AS4134","CN","Chinanet","180","Chinanet JS","53335","socks5","1589","1","2024-07-29T21:36:45.797Z","58","4409","7615"
"112.109.20.234","elite","AS24521","ID","DATAUTAMANET","198","N/A","4153","socks4","4992","1","2024-07-29T21:36:45.791Z","98","7395","7541"
"45.91.92.195","elite","AS63473","CH","HostHatch","21","HostHatch, LLC","9150","socks4","2395","1","2024-07-29T21:36:45.705Z","100","778","778"
"125.70.227.214","elite","AS4134","CN","Chinanet","224","Chinanet SC","10800","socks4","1693","81","2024-07-29T21:36:45.403Z","93","722","777"
"110.243.6.51","elite","AS4837","CN","China Unicom Hebei Province Network","183","N/A","9999","socks4","72","1","2024-07-29T21:36:45.795Z","86","6534","7562"
"200.152.107.102","elite","AS21571","BR","MLS Wireless S/A","273","MLS Projetos de Informatica","1080","socks5","1758","1","2024-07-29T21:36:45.488Z","97","7270","7485"
"103.87.81.86","elite","AS4787","ID","CBN","188","N/A","5678","socks4","410","2","2024-07-29T21:36:45.497Z","90","784","873"
"172.67.182.38","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5205","1","2024-07-29T21:36:45.790Z","100","7502","7502"
"212.83.143.151","elite","AS12876","FR","Online S.A.S.","2","ONLINE","14297","socks4","2487","2","2024-07-29T21:36:45.598Z","97","866","891"
"41.223.108.13","elite","AS328250","SO","Golis Telecom Somalia","131","ISP","1080","socks4","532","1","2024-07-29T21:36:45.704Z","99","7578","7651"
"43.153.56.181","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","152","Tencent Cloud Computing","443","socks5","4999","1","2024-07-29T21:36:45.697Z","74","5610","7562"
"213.14.32.70","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","85","Hipernet Bilisim VE Telekomunikasyon Hizmetleri Sanayi VE Ticaret Limited","4153","socks4","811","1","2024-07-29T21:36:45.405Z","100","808","809"
"103.47.93.210","elite","AS134058","IN","Broban Internet Services Pvt.ltd","180","Broban  PVT Ltd.","1080","socks4","6522","1","2024-07-29T21:36:45.703Z","99","7506","7577"
"202.183.155.242","elite","AS4750","TH","DaiwaAsia","200","Daiwa Asia Co.","4153","socks4","2285","2","2024-07-29T21:36:18.105Z","99","7535","7626"
"188.255.244.83","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","38","Orion Telekom Tim d.o.o.Beograd","52116","socks4","4689","1","2024-07-29T21:36:18.395Z","100","7599","7615"
"103.59.203.177","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","189","NET 4 U Services PVT LTD","4145","socks4","4598","2","2024-07-29T21:36:18.301Z","99","7474","7530"
"45.249.78.177","elite","AS18229","IN","Tejasri Communications","156","N/A","5678","socks4","596","2","2024-07-29T21:36:18.107Z","100","884","886"
"115.72.174.15","elite","AS7552","VN","VIETELmetro","231","N/A","42686","socks5","899","2","2024-07-29T21:36:18.188Z","82","728","888"
"43.157.44.3","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","12","Tencent Cloud Computing","443","socks5","2603","1","2024-07-29T21:36:18.402Z","16","1200","7572"
"213.6.227.38","elite","AS12975","PS","Palestine Telecommunications Company","55","Paltel DSL","34081","socks4","2006","1","2024-07-29T21:36:18.403Z","99","7415","7513"
"196.216.67.2","elite","AS30844","KE","Liquid Telecommunications Ltd","196","LTK KE SME","5678","socks5","3892","1","2024-07-29T21:36:18.397Z","90","6811","7601"
"2.229.249.153","elite","AS12874","IT","Fastweb Networks","30","N/A","4145","socks4","72","1","2024-07-29T21:36:18.393Z","100","7547","7549"
"185.109.184.150","elite","AS39423","IT","Elsynet S.r.l.","95","MPC Servers","56067","socks4","4706","1","2024-07-29T21:36:18.303Z","97","883","906"
"43.153.175.132","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","229","Tencent Cloud Computing","443","socks5","460","1","2024-07-29T21:35:29.300Z","77","5817","7573"
"107.174.121.140","elite","AS36352","US","HostPapa","111","RackNerd LLC","3128","socks4","2299","1","2024-07-29T21:35:29.302Z","73","5465","7470"
"103.130.113.129","elite","AS138336","BD","The Potato","290","N/A","5678","socks4","1808","1","2024-07-29T21:35:29.299Z","89","6749","7579"
"181.143.106.162","elite","N/A","CO","EPM Telecomunicaciones S.A. E.S.P.","148","N/A","52151","http","508","1","2024-07-29T21:35:28.997Z","100","238","239"
"222.223.152.170","elite","AS4134","CN","Chinanet","199","Chinanet HE","10800","socks4","1003","1","2024-07-29T21:35:28.995Z","90","748","834"
"83.53.207.196","elite","AS3352","ES","Telefonica de Espana SAU","29","RIMA (Red IP Multi Acceso)","4145","socks4","3598","1","2024-07-29T21:35:28.989Z","100","7543","7555"
"202.131.246.250","elite","AS9484","MN","Mobinet LLC","115","MOBINET-LL","5678","socks4","632","82","2024-07-29T21:35:28.793Z","97","795","818"
"207.178.166.187","elite","AS5033","US","Key Information Systems","145","Educational Message Services","80","socks4","74","1","2024-07-29T21:35:28.893Z","99","7559","7617"
